id;restaurant_name;restaurant_description;cuisine;street_address;postal_code;city;state
1;initiative;Riel projection Rubber;French;cross-platform Buckinghamshire Metal;Spring;Zboncakhaven;Unbranded
2;Regional;Orchestrator Marketing Frozen;Mexican;SMTP Computer e-commerce;Republic;Dasiashire;productize Tasty Planner
3;transmit Global transitional;grey deposit deposit;French;program Ameliorated quantify;Awesome South;Kuhntown;architectures compress wireless
4;leverage Plastic;Credit;Mexican;Borders transmitting Global;maroon Euro;Simonehaven;RAM
5;Shoes;Producer payment;Mexican;Spurs Account Cook;Plastic Lebanon;Mariohaven;silver
6;haptic;synergies invoice open-source;French;Granite recontextualize;Bedfordshire plug-and-play;Osbornestad;(E.M.U.-6) connect yellow
7;integrate transform Functionality;deposit Cotton;Mexican;back-end Forks;Oklahoma;Vincenzoberg;technologies Kansas
8;Haven primary invoice;Grocery;Thai;calculate;cross-platform Kiribati Chips;Oceanside;payment homogeneous circuit
9;recontextualize Applications Intranet;GB Nevada;Mexican;fuchsia Officer alarm;virtual multi-state;San Buenaventura (Ventura);deposit
10;Licensed Money Kwacha;Games back-end;French;Baby Sausages matrix;Steel proactive;Jacobifurt;Common
